question,from_autosuggestion,count
"would fewer weekly working hours (e.g., 40 instead of 55) change the prediction?",False,1
"would investment activity (e.g., a major gain) have changed the model’s prediction?",False,1
would it be occupation and weekly hours being most important as they can basically give you the answer if you know the average salary for any given occupation,False,1
would like to know more about how other features influenced the prediction?,False,1
would major gain suggest that they had a much lower initial investment?,False,1
would switching to a white-collar job have changed the prediction?,False,2
would switching to a white-collar job have made the prediction stronger?,False,1
"would the impact of marital status change if other factors, like education or occupation, were different?",False,1
would the model's prediction change if just the education level changed?,False,1
would the model's prediction change if just the occupation were different?,True,2
would the prediction change if investments becomes a loss?,False,1
would the prediction change if occupation changed to military?,False,1
would the prediction change if only one the investment outcome changes?,False,1
would the prediction change if the age goes about 40?,False,1
would the prediction change if the education level is reduced?,False,1
would the prediction change if the person had no investment gains but still worked 56 hours in an admin role?,False,1
would this prediction change if the person had investment gains?,False,1
yeah i habe to remember to think like a stupid llm istea dof what makes sense. it considers single way too much,False,1
yep,False,1
yes,False,10
yes given this person's major gain over 5k in investments this indicated to me they earn over 50k.,False,1
yes i think the factors align with my expectations,False,1
yes i would!,False,1
yes it does,False,1
yes it matches my understanding,False,1
yes lets proceed,False,1
yes please,False,3
"yes please, how do marital status and age factor influence the decision?",False,1
yes thanks,False,1
yes that helps me thank you i think im getting the hang of this,False,1
"yes, can you explain more about how they interact? so, which ages and marital statuses are more favourable for predicting higher income?",False,1
"yes, i'd love to explore how the anchor features are determined for the current prediction! understanding the key features that influence the prediction of over 50k will help clarify the model's decision-making process.  if you have access to the model's breakdown of feature importance or how each attribute influences the outcome, that would be really helpful. i'd be interested in seeing whether the model places more emphasis on specific features like investment gains, working hours, or others.",False,1
"yes, what age would support a prediction of earning over 50k?",False,1
yes. could you list each factor in order of importance?,False,1
your conclusion in this case seems to contradict your reasons for your previous predictions.,False,1
